 08/19-09:56	2303.800	2305.000	2302.400	2303.200	           2301	     41.000	   2300.180	   2309.527	   2320.760	           	      0.060	     -0.453	     -0.530	      0.000	     41.000	   2302.444	   2300.180	   2309.527	   2320.760	           	           	      0.000	     20.580	      0.000	           	      0.000	           	     -1.055	           	     -9.346	           	      3.020	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:57	2303.200	2310.400	2302.600	2308.800	           6881	     42.000	   2300.559	   2309.167	   2320.545	           	      0.379	     -0.360	     -0.478	      0.000	     42.000	   2304.075	   2300.559	   2309.167	   2320.545	           	           	      0.000	     19.986	      0.000	           	      0.000	           	     -1.010	           	     -8.607	           	      8.241	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:58	2308.800	2308.800	2305.200	2305.400	           4165	     43.000	   2300.780	   2308.753	   2320.298	           	      0.221	     -0.414	     -0.462	      0.000	     43.000	   2304.756	   2300.780	   2308.753	   2320.298	           	           	      0.000	     19.518	      0.000	           	      0.000	           	     -0.991	           	     -7.973	           	      4.620	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:59	2305.200	2306.200	2303.800	2305.800	           2323	     44.000	   2301.086	   2308.343	   2320.052	           	      0.306	     -0.410	     -0.493	      0.000	     44.000	   2305.444	   2301.086	   2308.343	   2320.052	           	           	      0.000	     18.965	      0.000	           	      0.000	           	     -0.971	           	     -7.257	           	      4.714	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-10:00	2305.600	2307.400	2302.200	2303.800	           4075	     45.000	   2301.406	   2307.906	   2319.800	           	      0.320	     -0.437	     -0.499	      0.000	     45.000	   2305.400	   2301.406	   2307.906	   2319.800	           	           	      0.000	     18.394	      0.000	           	      0.000	           	     -0.960	           	     -6.500	           	      2.394	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-10:01	2304.200	2304.400	2302.600	2303.000	           1849	     46.000	   2301.546	   2307.456	   2319.537	           	      0.140	     -0.450	     -0.515	      0.000	     46.000	   2305.356	   2301.546	   2307.456	   2319.537	           	           	      0.000	     17.991	      0.000	           	      0.000	           	     -1.008	           	     -5.910	           	      1.454	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-10:02	2303.200	2303.400	2300.000	2301.200	           3735	     47.000	   2301.707	   2306.977	   2319.235	           	      0.161	     -0.480	     -0.565	      0.000	     47.000	   2303.844	   2301.707	   2306.977	   2319.235	           	           	      0.000	     17.528	      0.000	           	      0.000	           	     -1.063	           	     -5.269	           	     -0.507	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-10:03	2300.800	2302.400	2300.800	2302.200	           1771	     48.000	   2302.073	   2306.513	   2318.942	           	      0.366	     -0.464	     -0.595	      0.000	     48.000	   2303.200	   2302.073	   2306.513	   2318.942	           	           	      0.000	     16.869	      0.000	           	      0.000	           	     -1.110	           	     -4.440	           	      0.127	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-10:04	2302.000	2302.200	2298.800	2300.400	           2917	     49.000	   2302.294	   2306.020	   2318.633	           	      0.221	     -0.493	     -0.602	      0.000	     49.000	   2302.119	   2302.294	   2306.020	   2318.633	           	           	      0.000	     16.340	      0.000	           	      0.000	           	     -1.167	           	     -3.726	           	     -1.894	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-10:05	2299.800	2301.000	2299.400	2299.400	           1755	     50.000	   2302.394	   2305.510	   2318.348	           	      0.100	     -0.510	     -0.593	      0.000	     50.000	   2301.244	   2302.394	   2305.510	   2318.348	           	           	      0.000	     15.955	      0.000	           	      0.000	           	     -1.188	           	     -3.116	           	     -2.994	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
